"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YMR040W",-2.87911174090265,2.3016127973075,60.7217608932453,1.80719401503473e-06,4.5738437616879e-05,"YET2"
"YGR085C",-1.41943974138741,4.3415305675941,60.5028608110666,1.8373135859654e-06,4.6200388454646e-05,"RPL11B"
"YNCB0014W",-2.11873212160686,1.11543171821019,60.6257049037337,1.8420413500236e-06,4.6200388454646e-05,NA
"YHR205W",1.52872907343831,3.91660745522822,59.9181788802913,1.9437595915593e-06,4.8532974913911e-05,"SCH9"
"YGR019W",1.76986833722126,2.55009327352767,59.8219193459452,1.96439894736182e-06,4.88293452629939e-05,"UGA1"
"YDR223W",1.82442802693401,2.22192282373071,59.7845034354361,1.98078877261957e-06,4.88928576483883e-05,"CRF1"
"YPL265W",-1.77606933384083,3.96382672682101,59.7154692913111,1.98451613299852e-06,4.88928576483883e-05,"DIP5"
"YDL181W",-1.30602712056825,4.47685079914596,59.4848992763335,2.02654595684259e-06,4.96020787188612e-05,"INH1"
"YGR049W",2.1839654352795,1.50165024933074,59.6269393536881,2.03111960271199e-06,4.96020787188612e-05,"SCM4"
"YPR026W",1.46661726976469,3.57908099309078,59.091726150579,2.10645364634983e-06,5.11171841209058e-05,"ATH1"
"YJL079C",1.61498084981873,3.86166484428242,59.0644873178689,2.11152161418971e-06,5.11171841209058e-05,"PRY1"
"YAL007C",-1.96646364719824,1.84702350636026,59.001230808419,2.13197299731637e-06,5.13888556236257e-05,"ERP2"
